,id,content,date,negative_prob,positive_prob
0,8.22421e+17,it all begins today i will see you at 1100 am for the swearingin the movement continues  the work begins,1/20/2017 6:31,0.98266196,0.017338067
1,8.22502e+17,today we are not merely transferring power from one administration to another or from one party to another  but we are transferring,1/20/2017 11:51,0.0010824637,0.9989176
2,8.22502e+17,power from washington dc and giving it back to you the american people  inaugurationday,1/20/2017 11:51,0.99999964,4.1632504e-07
3,8.22502e+17,what truly matters is not which party controls our government but whether our government is controlled by the people,1/20/2017 11:52,0.00022117078,0.9997788
4,8.22502e+17,january 20th 2017 will be remembered as the day the people became the rulers of this nation again,1/20/2017 11:53,0.8098326,0.19016743
5,8.22502e+17,the forgotten men and women of our country will be forgotten no longer from this moment on its going to be  americafirst,1/20/2017 11:54,0.99983966,0.00016031925
6,8.22503e+17,we will bring back our jobs we will bring back our borders we will bring back our wealth  and we will bring back our dreams,1/20/2017 11:54,0.34805462,0.6519454
7,8.22503e+17,we will follow two simple rules buy american  hire american  inaugurationday  maga,1/20/2017 11:55,0.011512848,0.9884871
8,8.22504e+17,it is time to remember thathttpswwwfacebookcomdonaldtrumpposts10158510858055725 ,1/20/2017 11:58,0.9917494,0.008250655
9,8.22504e+17,so to all americans in every city near and far small and large from mountain to mountainhttpswwwfacebookcomdonaldtrumpposts10158510880180725 ,1/20/2017 12:00,0.9960853,0.0039146617
10,8.22507e+17,to all americans httpswwwfacebookcomdonaldtrumpposts10158510987625725 ,1/20/2017 12:13,0.56734145,0.43265855
11,8.22669e+17,thank you for another wonderful evening in washington dc together we will make america great againpictwittercomv3aoj9ruh4,1/20/2017 22:56,0.7087005,0.29129952
12,8.22774e+17,a fantastic day and evening in washington dcthank you to  foxnews and so many other news outlets for the great reviews of the speech,1/21/2017 5:53,0.999969,3.0976113e-05
13,8.23147e+17,had a great meeting at cia headquarters yesterday packed house paid great respect to wall long standing ovations amazing people win,1/22/2017 6:35,0.0001993298,0.99980074
14,8.2315e+17,watched protests yesterday but was under the impression that we just had an election why didnt these people vote celebs hurt cause badly,1/22/2017 6:47,0.19186927,0.80813074
15,8.23151e+17,wow television ratings just out 31 million people watched the inauguration 11 million more than the very good ratings from 4 years ago,1/22/2017 6:51,0.99999225,7.742193e-06
16,8.23174e+17,peaceful protests are a hallmark of our democracy even if i dont always agree i recognize the rights of people to express their views,1/22/2017 8:23,0.9928275,0.0071725617
17,8.23495e+17,busy week planned with a heavy focus on jobs and national security top executives coming in at 900 am to talk manufacturing in america,1/23/2017 5:38,0.0017710979,0.99822897
18,8.23851e+17,will be meeting at 900 with top automobile executives concerning jobs in america i want new plants to be built here for cars sold here,1/24/2017 5:11,0.015801935,0.98419803
19,8.23938e+17,a photo delivered yesterday that will be displayed in the upperlower press hall thank you abbaspictwittercomuzp0ivvrp0,1/24/2017 10:58,0.99458706,0.0054129628
20,8.23939e+17,great meeting with automobile industry leaders at the  whitehouse this morning together we will  magapictwittercomoxdilokgsz,1/24/2017 11:04,0.04465222,0.9553478
21,8.23951e+17,signing orders to move forward with the construction of the keystone xl and dakota access pipelines in the oval officepictwittercomoergmbbvyk  bei the oval office,1/24/2017 11:49,0.99984217,0.00015777438
22,8.24056e+17,great meeting with ford ceo mark fields and general motors ceo mary barra at the  whitehouse todaypictwittercomt0eigo6lp8,1/24/2017 18:46,0.992455,0.00754493
23,8.24078e+17,congratulations to  foxnews for being number one in inauguration ratings they were many times higher than fake news  cnn  public is smart,1/24/2017 20:16,0.015581576,0.9844184
24,8.24081e+17,if chicago doesnt fix the horrible carnage going on 228 shootings in 2017 with 42 killings up 24 from 2016 i will send in the feds,1/24/2017 20:25,0.9955232,0.004476756
25,8.24084e+17,big day planned on national security tomorrow among many other things we will build the wall,1/24/2017 20:37,0.0010482157,0.9989518
26,8.24228e+17,i will be asking for a major investigation into voter fraud including those registered to vote in two states those who are illegal and,1/25/2017 6:10,0.24358872,0.7564113
27,8.24229e+17,even those registered to vote who are dead and many for a long time depending on results we will strengthen up voting procedures,1/25/2017 6:13,0.0006381533,0.9993618
28,8.2423e+17,i will be making my supreme court pick on thursday of next weekthank you,1/25/2017 6:17,0.9930093,0.0069907047
29,8.24378e+17,i will be interviewed by  davidmuir tonight at 10 oclock on  abc will be my first interview from the white house enjoypictwittercomokiz8zedgz  bei the white house,1/25/2017 16:05,0.11380946,0.88619053
30,8.24407e+17,beginning today the united states of america gets back control of its borders full speech from today  dhsgov httpbitly2jszomhdhs pictwittercom48izam5fai,1/25/2017 18:03,0.9740208,0.025979236
31,8.2444e+17,as your president i have no higher duty than to protect the lives of the american peoplepictwittercomo7ynunwb8f,1/25/2017 20:14,0.9998869,0.000113149545
32,8.24448e+17,  romoabcnews   davidmuir first  potus interview since taking office tonight on  abcworldnews  abc2020 tonight pictwittercomi4vz1mrdbk,1/25/2017 20:45,0.9999993,7.1511505e-07
33,8.24449e+17,interview with david muir of  abc news in 10 minutes enjoy,1/25/2017 20:48,0.0469776,0.9530224
34,8.24574e+17,ungrateful traitor chelsea manning who should never have been released from prison is now calling president obama a weak leader terrible,1/26/2017 5:04,0.7394095,0.26059052
35,8.24616e+17,the us has a 60 billion dollar trade deficit with mexico it has been a onesided deal from the beginning of nafta with massive numbers,1/26/2017 7:51,0.037739754,0.9622603
36,8.24617e+17,of jobs and companies lost if mexico is unwilling to pay for the badly needed wall then it would be better to cancel the upcoming meeting,1/26/2017 7:55,0.31168672,0.68831325
37,8.24699e+17,spoke at the congressional  gop retreat in philadelphia pa this afternoon w  vp  senatemajldr  speakerryan thank you for your supportpictwittercomdev2dnksdc,1/26/2017 13:21,0.9983015,0.0016985242
38,8.24765e+17,will be interviewed by  seanhannity on  foxnews at 1000pm tonight enjoy,1/26/2017 17:45,0.022362128,0.9776379
39,8.24767e+17,miamidade mayor drops sanctuary policy right decision stronghttpwwwmiamiheraldcomnewslocalcommunitymiamidadearticle128984759html ,1/26/2017 17:53,0.41482678,0.58517325
40,8.24968e+17,look forward to seeing final results of votestand gregg phillips and crew say at least 3000000 votes were illegal we must do better,1/27/2017 7:12,0.9172241,0.082775906
41,8.2497e+17,mexico has taken advantage of the us for long enough massive trade deficits  little help on the very weak border must change now,1/27/2017 7:19,0.41593254,0.58406746
42,8.25017e+17,the  marchforlife is so important to all of you marching  you have my full support,1/27/2017 10:27,0.9999169,8.302323e-05
43,8.25018e+17,  vp mike pence will be speaking at todays  marchforlife  you have our full supporthttpstwittercomvpstatus824757313441525761 ,1/27/2017 10:30,0.8473848,0.15261523
44,8.25076e+17,statement on international holocaust remembrance dayhttpswwwwhitehousegovthepressoffice20170127statementpresidentinternationalholocaustremembranceday ,1/27/2017 14:20,0.4513842,0.5486158
