,id,content,date,time,negative_prob,positive_prob,outcome
31223,821342600322043905,people are pouring into washington in record numbers bikers for trump are on their way it will be a great thursday friday and saturday,2017-01-17,07:05:10,0.9989857,0.0010143163,-1
31224,821344302651555840,the same people who did the phony election polls and were so wrong are now doing approval rating polls they are rigged just like before,2017-01-17,07:11:56,0.9997416,0.00025839783,-1
31225,821364027506966532,with all of the jobs i am bringing back into the us even before taking office with all of the new auto plants coming back into our,2017-01-17,08:30:19,0.16157474,0.83842534,1
31226,821365569366671360,country and with the massive cost reductions i have negotiated on military purchases and more i believe the people are seeing big stuff,2017-01-17,08:36:26,0.89590657,0.104093425,-1
31227,821368088935432196,john lewis said about my inauguration it will be the first one that ive missed wrong or lie he boycotted bush 43 also because he,2017-01-17,08:46:27,0.99816656,0.0018334534,-1
31228,821369651968012288,thought it would be hypocritical to attend bushs swearinginhe doesnt believe bush is the true elected president sound familiar wp,2017-01-17,08:52:39,0.78296435,0.21703565,-1
31229,821410947864653825,how trump wonand how the media missed ithttpwwwbreitbartcombigjournalism20170116mediacoveredtrumpwithoutlisteningvoters ,2017-01-17,11:36:45,0.98897576,0.01102428,-1
31230,821415698278875137,thank you to general motors and walmart for starting the big jobs push back into the us,2017-01-17,11:55:38,0.08479745,0.9152026,1
31231,821686928680583169,will be interviewed by  ainsleyearhardt on  foxandfriends  enjoy,2017-01-18,05:53:24,0.26914012,0.7308599,1
31232,821697182235496450,totally biased  nbcnews went out of its way to say that the big announcement from ford gm lockheed  others that jobs are coming back,2017-01-18,06:34:09,0.9914296,0.008570319,-1
31233,821699672687448064,to the us but had nothing to do with trump is more fake news ask top ceos of those companies for real facts came back because of me,2017-01-18,06:44:03,0.9976216,0.002378375,-1
31234,821703902940827648,bayer ag has pledged to add us jobs and investments after meeting with presidentelect donald trump the latest in a string  wsj,2017-01-18,07:00:51,0.99790084,0.0020991166,-1
31235,821705440178348033,no wonder the today show on biased  nbc is doing so badly compared to its glorious past little credibility,2017-01-18,07:06:58,0.9974371,0.0025628945,-1
31236,821719763214880769,  thealabamaband was great last night in dc playing for 147 diplomats and ambassadors from countries around the world thanks alabama,2017-01-18,08:03:53,0.0383682,0.9616318,1
